OrderID,Date,Country,Device,Item_Detail,Unitprice,Quantity,Sales
20180053,1/23/2018,Thailand,Desktop,Beverage,200,176,35200
20180054,1/23/2018,Canada,Mobile,Dried Food,450,131,58950
20180055,1/24/2018,USA,Desktop,Dried Food,450,275,123750
20180056,1/24/2018,Thailand,Desktop,Frozen Food,330,296,97680
20180057,1/24/2018,USA,Mobile,Canned Food,500,223,111500
20180058,1/27/2018,USA,Desktop,Frozen Food,330,494,163020
20180059,1/27/2018,Australia,Mobile,Dried Food,450,475,213750
20180060,1/27/2018,Australia,Mobile,Dried Food,450,144,64800
20180061,1/27/2018,Australia,Desktop,Canned Food,500,450,225000
20180062,1/28/2018,Australia,Tablet,Dried Food,450,223,100350
20180063,1/28/2018,Canada,Mobile,Canned Food,500,307,153500
20180064,1/28/2018,Thailand,Mobile,Frozen Food,330,322,106260
20180065,1/29/2018,USA,Mobile,Dried Food,450,171,76950
20180066,1/29/2018,Canada,Mobile,Frozen Food,330,311,102630
20180067,1/29/2018,Australia,Desktop,Frozen Food,330,449,148170
20180068,1/29/2018,Canada,Mobile,Dried Food,450,423,190350
20180069,1/30/2018,Canada,Desktop,Canned Food,500,169,84500
20180070,1/30/2018,USA,Mobile,Dried Food,450,398,179100
20180071,1/30/2018,Australia,Mobile,Beverage,200,218,43600
20180072,1/30/2018,Thailand,Mobile,Frozen Food,330,175,57750
20180073,1/30/2018,Thailand,Tablet,Canned Food,500,293,146500
20180074,1/31/2018,USA,Desktop,Beverage,200,397,79400
20180075,1/31/2018,Thailand,Mobile,Frozen Food,330,133,43890
20180076,1/31/2018,Canada,Tablet,Dried Food,450,500,225000
20180077,1/31/2018,USA,Tablet,Beverage,200,449,89800
20180078,1/31/2018,Australia,Tablet,Frozen Food,330,495,163350
20180079,2/1/2018,USA,Tablet,Frozen Food,330,362,119460
20180080,2/1/2018,Australia,Desktop,Beverage,200,248,49600
20180081,2/1/2018,Canada,Tablet,Frozen Food,330,472,155760
20180082,2/1/2018,Australia,Mobile,Dried Food,450,336,151200
20180083,2/2/2018,Thailand,Tablet,Dried Food,450,469,211050
20180084,2/2/2018,USA,Desktop,Frozen Food,330,236,77880
20180085,2/2/2018,Australia,Desktop,Canned Food,500,318,159000
20180086,2/2/2018,Thailand,Mobile,Dried Food,450,165,74250
20180087,2/2/2018,Australia,Desktop,Canned Food,500,304,152000
20180088,2/2/2018,Thailand,Tablet,Beverage,200,282,56400
20180089,2/2/2018,USA,Desktop,Beverage,200,278,55600
20180090,2/3/2018,Australia,Mobile,Frozen Food,330,325,107250
20180091,2/3/2018,USA,Desktop,Canned Food,500,331,165500
20180092,2/3/2018,Australia,Desktop,Canned Food,500,263,131500
20180093,2/3/2018,Canada,Tablet,Canned Food,500,423,211500
20180094,2/4/2018,USA,Tablet,Canned Food,500,362,181000
20180095,2/5/2018,Canada,Desktop,Canned Food,500,215,107500
20180096,2/5/2018,USA,Mobile,Dried Food,450,118,53100
20180097,2/6/2018,Thailand,Tablet,Beverage,200,243,48600
20180098,2/6/2018,Australia,Tablet,Canned Food,500,197,98500
20180099,2/6/2018,Canada,Mobile,Dried Food,450,361,162450
20180100,2/7/2018,Thailand,Desktop,Canned Food,500,231,115500
20180101,2/7/2018,USA,Mobile,Frozen Food,330,465,153450
20180102,2/7/2018,Australia,Desktop,Beverage,200,397,79400
20180103,2/7/2018,Canada,Tablet,Frozen Food,330,149,49170
20180104,2/8/2018,Canada,Mobile,Beverage,200,255,51000
20180105,2/8/2018,USA,Mobile,Dried Food,450,103,46350
20180106,2/9/2018,USA,Mobile,Beverage,200,442,88400
20180107,2/9/2018,Canada,Mobile,Dried Food,450,261,117450
20180108,2/9/2018,Australia,Desktop,Frozen Food,330,170,56100
20180109,2/11/2018,Thailand,Desktop,Dried Food,450,194,87300
20180110,2/11/2018,Thailand,Desktop,Dried Food,450,268,120600
20180111,2/11/2018,Thailand,Mobile,Dried Food,450,461,207450
20180112,2/12/2018,USA,Desktop,Frozen Food,330,201,66330
20180113,2/12/2018,Australia,Desktop,Frozen Food,330,160,52800
20180114,2/12/2018,Thailand,Mobile,Beverage,200,217,43400
20180115,2/12/2018,Canada,Mobile,Dried Food,450,212,95400
20180116,2/13/2018,USA,Desktop,Dried Food,450,358,161100
20180117,2/13/2018,Thailand,Mobile,Canned Food,500,281,140500
20180118,2/13/2018,USA,Mobile,Canned Food,500,284,142000
20180119,2/13/2018,USA,Mobile,Dried Food,450,183,82350
20180120,2/14/2018,USA,Mobile,Dried Food,450,359,161550
20180121,2/14/2018,Thailand,Tablet,Dried Food,450,142,63900
20180122,2/14/2018,Canada,Tablet,Dried Food,450,344,154800
20180123,2/14/2018,USA,Mobile,Frozen Food,330,350,115500
20180124,2/15/2018,Australia,Tablet,Beverage,200,333,66600
20180125,2/16/2018,Australia,Tablet,Canned Food,500,158,79000
20180126,2/16/2018,Australia,Mobile,Dried Food,450,169,76050
20180127,2/16/2018,Canada,Desktop,Canned Food,500,314,157000
20180128,2/17/2018,Australia,Mobile,Frozen Food,330,322,106260
20180129,2/17/2018,Thailand,Desktop,Frozen Food,330,292,96360
20180130,2/17/2018,Australia,Mobile,Beverage,200,446,89200
20180131,2/18/2018,Australia,Mobile,Beverage,200,358,71600
20180132,2/18/2018,Canada,Mobile,Dried Food,450,442,198900
20180133,2/18/2018,Thailand,Tablet,Dried Food,450,184,82800
20180134,2/19/2018,Canada,Mobile,Dried Food,450,149,67050
20180135,2/19/2018,USA,Tablet,Beverage,200,456,91200
20180136,2/19/2018,Thailand,Desktop,Dried Food,450,496,223200
20180137,2/20/2018,Australia,Mobile,Beverage,200,317,63400
20180138,2/20/2018,Canada,Mobile,Frozen Food,330,420,138600
20180139,2/20/2018,USA,Tablet,Canned Food,500,465,232500
20180140,2/21/2018,Canada,Desktop,Canned Food,500,422,211000
20180141,2/21/2018,Thailand,Tablet,Beverage,200,428,85600
20180142,2/21/2018,USA,Mobile,Frozen Food,330,150,49500
20180143,2/21/2018,Thailand,Tablet,Canned Food,500,487,243500
20180144,2/22/2018,Australia,Mobile,Frozen Food,330,422,139260
20180145,2/22/2018,Thailand,Desktop,Beverage,200,496,99200
20180146,2/23/2018,USA,Tablet,Frozen Food,330,403,132990
20180147,2/23/2018,Thailand,Mobile,Canned Food,500,102,51000
20180148,2/24/2018,USA,Mobile,Beverage,200,290,58000
20180149,2/24/2018,Australia,Mobile,Beverage,200,231,46200
20180150,2/24/2018,Australia,Mobile,Frozen Food,330,184,60720
20180151,2/24/2018,Australia,Tablet,Dried Food,450,308,138600
20180152,2/24/2018,USA,Mobile,Dried Food,450,275,123750
20180153,2/24/2018,Australia,Tablet,Beverage,200,238,47600
20180154,2/25/2018,Australia,Tablet,Beverage,200,494,98800
20180155,2/25/2018,Canada,Tablet,Canned Food,500,298,149000
20180156,2/26/2018,Thailand,Mobile,Canned Food,500,464,232000
20180157,2/26/2018,Thailand,Mobile,Beverage,200,258,51600
20180158,2/26/2018,Canada,Mobile,Dried Food,450,425,191250
20180159,2/26/2018,USA,Desktop,Dried Food,450,157,70650
20180160,2/27/2018,Canada,Mobile,Beverage,200,384,76800
20180161,2/27/2018,Australia,Desktop,Dried Food,450,148,66600
20180162,2/27/2018,Canada,Tablet,Canned Food,500,213,106500
20180163,2/28/2018,Australia,Mobile,Canned Food,500,184,92000
20180164,2/28/2018,Australia,Desktop,Frozen Food,330,450,148500
20180165,2/28/2018,Thailand,Tablet,Beverage,200,335,67000
20180166,3/1/2018,Canada,Desktop,Frozen Food,330,160,52800
20180167,3/1/2018,Australia,Desktop,Beverage,200,242,48400
20180168,3/2/2018,Thailand,Mobile,Frozen Food,330,283,93390
20180169,3/2/2018,Thailand,Tablet,Dried Food,450,351,157950
20180170,3/2/2018,Thailand,Desktop,Canned Food,500,239,119500
20180171,3/2/2018,Australia,Tablet,Dried Food,450,140,63000
20180172,3/2/2018,Australia,Desktop,Dried Food,450,394,177300
20180173,3/3/2018,Canada,Mobile,Canned Food,500,301,150500
20180174,3/4/2018,Australia,Desktop,Dried Food,450,160,72000
20180175,3/4/2018,Australia,Tablet,Dried Food,450,396,178200
20180176,3/4/2018,Thailand,Tablet,Beverage,200,371,74200
20180177,3/4/2018,USA,Tablet,Frozen Food,330,303,99990
20180178,3/5/2018,Australia,Mobile,Frozen Food,330,156,51480
20180179,3/5/2018,Thailand,Tablet,Dried Food,450,260,117000
20180180,3/6/2018,Australia,Mobile,Frozen Food,330,158,52140
20180181,3/6/2018,USA,Mobile,Canned Food,500,324,162000
20180182,3/6/2018,Australia,Desktop,Frozen Food,330,280,92400
20180183,3/7/2018,Thailand,Mobile,Dried Food,450,333,149850
20180184,3/7/2018,USA,Mobile,Canned Food,500,259,129500
20180185,3/7/2018,Australia,Desktop,Frozen Food,330,372,122760
20180186,3/7/2018,Thailand,Tablet,Canned Food,500,270,135000
20180187,3/7/2018,Australia,Mobile,Frozen Food,330,132,43560
20180188,3/7/2018,USA,Desktop,Canned Food,500,296,148000
20180189,3/8/2018,USA,Tablet,Dried Food,450,220,99000
20180190,3/8/2018,USA,Mobile,Frozen Food,330,348,114840
20180191,3/8/2018,Thailand,Mobile,Dried Food,450,370,166500
20180192,3/9/2018,Australia,Tablet,Frozen Food,330,246,81180
20180193,3/9/2018,Canada,Desktop,Canned Food,500,361,180500
20180194,3/9/2018,USA,Desktop,Canned Food,500,293,146500
20180195,3/9/2018,Thailand,Tablet,Canned Food,500,316,158000
20180196,3/9/2018,USA,Tablet,Dried Food,450,263,118350
20180197,3/9/2018,Thailand,Mobile,Beverage,200,132,26400
20180198,3/9/2018,Canada,Tablet,Frozen Food,330,127,41910
20180199,3/9/2018,Canada,Mobile,Frozen Food,330,321,105930
20180200,3/10/2018,Thailand,Mobile,Canned Food,500,221,110500
20180201,3/10/2018,Australia,Tablet,Canned Food,500,370,185000
20180202,3/10/2018,Canada,Mobile,Beverage,200,175,35000
20180203,3/10/2018,Canada,Tablet,Dried Food,450,254,114300
20180204,3/10/2018,Thailand,Mobile,Dried Food,450,253,113850
20180205,3/10/2018,USA,Mobile,Canned Food,500,148,74000
20180206,3/10/2018,Canada,Tablet,Dried Food,450,294,132300
20180207,3/10/2018,Canada,Tablet,Beverage,200,118,23600
20180208,3/11/2018,Canada,Mobile,Canned Food,500,118,59000
20180209,3/11/2018,Thailand,Mobile,Canned Food,500,350,175000
20180210,3/12/2018,Canada,Mobile,Beverage,200,287,57400
20180211,3/12/2018,USA,Mobile,Dried Food,450,161,72450
20180212,3/12/2018,Australia,Mobile,Frozen Food,330,140,46200
20180213,3/12/2018,USA,Desktop,Dried Food,450,303,136350
20180214,3/12/2018,Thailand,Desktop,Canned Food,500,120,60000
20180215,3/12/2018,Australia,Desktop,Canned Food,500,179,89500
20180216,3/12/2018,Thailand,Tablet,Dried Food,450,102,45900
20180217,3/12/2018,Canada,Tablet,Frozen Food,330,303,99990
20180218,3/12/2018,Thailand,Mobile,Frozen Food,330,244,80520
20180219,3/12/2018,Thailand,Mobile,Dried Food,450,266,119700
20180220,3/13/2018,USA,Mobile,Beverage,200,316,63200
20180221,3/13/2018,USA,Mobile,Canned Food,500,160,80000
20180222,3/13/2018,Thailand,Tablet,Dried Food,450,337,151650
20180223,3/14/2018,Canada,Desktop,Dried Food,450,267,120150
20180224,3/14/2018,USA,Desktop,Frozen Food,330,264,87120
20180225,3/14/2018,USA,Mobile,Dried Food,450,105,47250
20180226,3/15/2018,Australia,Desktop,Beverage,200,163,32600
20180227,3/15/2018,Australia,Desktop,Frozen Food,330,292,96360
20180228,3/15/2018,USA,Desktop,Dried Food,450,315,141750
20180229,3/16/2018,Canada,Mobile,Canned Food,500,181,90500
20180230,3/16/2018,USA,Mobile,Frozen Food,330,350,115500
20180231,3/16/2018,USA,Desktop,Canned Food,500,329,164500
20180232,3/17/2018,Thailand,Mobile,Beverage,200,182,36400
20180233,3/17/2018,Canada,Desktop,Dried Food,450,280,126000
20180234,3/17/2018,USA,Mobile,Beverage,200,174,34800
20180235,3/17/2018,Thailand,Mobile,Canned Food,500,367,183500
20180236,3/17/2018,USA,Mobile,Beverage,200,263,52600
20180237,3/17/2018,Canada,Mobile,Dried Food,450,189,85050
20180238,3/18/2018,USA,Mobile,Dried Food,450,113,50850
20180239,3/18/2018,USA,Mobile,Dried Food,450,205,92250
20180240,3/18/2018,Australia,Desktop,Frozen Food,330,278,91740
20180241,3/18/2018,Australia,Tablet,Dried Food,450,286,128700
20180242,3/19/2018,Australia,Desktop,Frozen Food,330,243,80190
20180243,3/19/2018,Canada,Desktop,Dried Food,450,358,161100
20180244,3/19/2018,Australia,Mobile,Dried Food,450,221,99450
20180245,3/19/2018,USA,Mobile,Dried Food,450,175,78750
20180246,3/19/2018,USA,Desktop,Dried Food,450,306,137700
20180247,3/20/2018,USA,Mobile,Frozen Food,330,247,81510
20180248,3/20/2018,Australia,Tablet,Beverage,200,278,55600
20180249,3/21/2018,Australia,Tablet,Frozen Food,330,254,83820
20180250,3/21/2018,Australia,Desktop,Dried Food,450,373,167850
20180251,3/22/2018,USA,Mobile,Beverage,200,341,68200
20180252,3/22/2018,Australia,Mobile,Frozen Food,330,299,98670
20180253,3/22/2018,Canada,Mobile,Frozen Food,330,249,82170
20180254,3/23/2018,Australia,Tablet,Dried Food,450,198,89100
20180255,3/23/2018,Australia,Tablet,Canned Food,500,256,128000
20180256,3/23/2018,USA,Mobile,Frozen Food,330,243,80190
20180257,3/23/2018,Australia,Tablet,Beverage,200,368,73600
20180258,3/23/2018,USA,Mobile,Frozen Food,330,250,82500
20180259,3/24/2018,Thailand,Mobile,Canned Food,500,196,98000
20180260,3/24/2018,Australia,Mobile,Frozen Food,330,323,106590
20180261,3/25/2018,USA,Mobile,Canned Food,500,245,122500
20180262,3/25/2018,USA,Tablet,Beverage,200,235,47000
20180263,3/25/2018,Thailand,Tablet,Dried Food,450,169,76050
20180264,3/26/2018,Australia,Desktop,Dried Food,450,112,50400
20180265,3/27/2018,Australia,Mobile,Frozen Food,330,280,92400
20180266,3/27/2018,Australia,Mobile,Beverage,200,240,48000
20180267,3/27/2018,USA,Mobile,Frozen Food,330,233,76890
20180268,3/28/2018,Australia,Mobile,Beverage,200,233,46600
20180269,3/28/2018,Australia,Mobile,Canned Food,500,201,100500
20180270,3/28/2018,Australia,Mobile,Frozen Food,330,217,71610
20180271,3/29/2018,USA,Mobile,Frozen Food,330,365,120450
20180272,3/29/2018,Canada,Desktop,Beverage,200,347,69400
20180273,3/30/2018,Australia,Mobile,Canned Food,500,203,101500
20180274,3/30/2018,Thailand,Mobile,Beverage,200,153,30600
20180275,3/30/2018,Canada,Tablet,Dried Food,450,248,111600
20180276,3/31/2018,Thailand,Tablet,Canned Food,500,369,184500
20180277,3/31/2018,Australia,Mobile,Canned Food,500,166,83000
20180278,4/1/2018,USA,Desktop,Canned Food,500,283,141500
20180279,4/1/2018,Thailand,Tablet,Dried Food,450,190,85500
20180280,4/1/2018,Canada,Mobile,Canned Food,500,200,100000
20180281,4/1/2018,USA,Tablet,Dried Food,450,354,159300
20180282,4/2/2018,USA,Mobile,Dried Food,450,168,75600
20180283,4/2/2018,Canada,Desktop,Beverage,200,328,65600
20180284,4/2/2018,Thailand,Mobile,Dried Food,450,222,99900
20180285,4/2/2018,Canada,Mobile,Beverage,200,353,70600
20180286,4/2/2018,Canada,Tablet,Canned Food,500,376,188000
20180287,4/3/2018,Australia,Tablet,Dried Food,450,261,117450
20180288,4/3/2018,Thailand,Tablet,Beverage,200,168,33600
20180289,4/3/2018,Canada,Desktop,Dried Food,450,168,75600
20180290,4/3/2018,Australia,Desktop,Frozen Food,330,295,97350
20180291,4/4/2018,Australia,Mobile,Canned Food,500,353,176500
20180292,4/4/2018,Australia,Tablet,Canned Food,500,109,54500
20180293,4/4/2018,Australia,Mobile,Canned Food,500,374,187000
20180294,4/4/2018,Australia,Tablet,Frozen Food,330,245,80850
20180295,4/4/2018,Thailand,Mobile,Canned Food,500,320,160000
20180296,4/5/2018,USA,Mobile,Frozen Food,330,233,76890
20180297,4/5/2018,Thailand,Mobile,Dried Food,450,134,60300
20180298,4/6/2018,Australia,Desktop,Beverage,200,104,20800
20180299,4/6/2018,Australia,Mobile,Frozen Food,330,166,54780
20180300,4/7/2018,Thailand,Mobile,Beverage,200,307,61400
20180301,4/7/2018,Australia,Mobile,Canned Food,500,316,158000
20180302,4/8/2018,Thailand,Mobile,Beverage,200,204,40800
20180303,4/9/2018,Thailand,Mobile,Frozen Food,330,327,107910
20180304,4/9/2018,Canada,Mobile,Canned Food,500,238,119000
20180305,4/9/2018,Canada,Desktop,Dried Food,450,356,160200
20180306,4/9/2018,USA,Mobile,Beverage,200,153,30600
20180307,4/9/2018,Thailand,Desktop,Dried Food,450,178,80100
20180308,4/9/2018,USA,Mobile,Beverage,200,214,42800
20180309,4/9/2018,Australia,Mobile,Frozen Food,330,193,63690
20180310,4/10/2018,USA,Desktop,Canned Food,500,361,180500
20180311,4/10/2018,Canada,Mobile,Dried Food,450,236,106200
20180312,4/10/2018,Australia,Desktop,Beverage,200,193,38600
20180313,4/10/2018,USA,Tablet,Beverage,200,273,54600
20180314,4/11/2018,Australia,Desktop,Frozen Food,330,216,71280
20180315,4/11/2018,Canada,Mobile,Canned Food,500,160,80000
20180316,4/11/2018,Australia,Desktop,Frozen Food,330,174,57420
20180317,4/11/2018,Australia,Mobile,Frozen Food,330,389,128370
20180318,4/11/2018,Thailand,Mobile,Beverage,200,297,59400
20180319,4/11/2018,Canada,Mobile,Canned Food,500,194,97000
20180320,4/11/2018,Australia,Tablet,Canned Food,500,197,98500
20180321,4/12/2018,Canada,Mobile,Canned Food,500,349,174500
20180322,4/13/2018,Thailand,Desktop,Canned Food,500,153,76500
20180323,4/13/2018,Australia,Tablet,Frozen Food,330,336,110880
20180324,4/14/2018,Canada,Mobile,Dried Food,450,386,173700
20180325,4/14/2018,Thailand,Mobile,Dried Food,450,142,63900
20180326,4/14/2018,USA,Tablet,Dried Food,450,204,91800
20180327,4/14/2018,Thailand,Desktop,Dried Food,450,175,78750
20180328,4/14/2018,Australia,Tablet,Beverage,200,271,54200
20180329,4/14/2018,Australia,Mobile,Canned Food,500,317,158500
20180330,4/14/2018,Thailand,Mobile,Dried Food,450,251,112950
20180331,4/15/2018,Australia,Tablet,Frozen Food,330,115,37950
20180332,4/15/2018,USA,Desktop,Beverage,200,321,64200
20180333,4/15/2018,USA,Mobile,Dried Food,450,284,127800
20180334,4/15/2018,USA,Desktop,Dried Food,450,140,63000
20180335,4/15/2018,Thailand,Tablet,Frozen Food,330,366,120780
20180336,4/15/2018,USA,Mobile,Dried Food,450,315,141750
20180337,4/16/2018,Canada,Mobile,Beverage,200,368,73600
20180338,4/17/2018,Thailand,Tablet,Canned Food,500,342,171000
20180339,4/17/2018,Canada,Tablet,Beverage,200,365,73000
20180340,4/18/2018,Thailand,Mobile,Dried Food,450,217,97650
20180341,4/18/2018,Canada,Mobile,Frozen Food,330,398,131340
20180342,4/18/2018,Canada,Desktop,Frozen Food,330,135,44550
20180343,4/19/2018,Australia,Desktop,Frozen Food,330,390,128700
20180344,4/19/2018,Thailand,Mobile,Dried Food,450,207,93150
20180345,4/19/2018,Thailand,Mobile,Canned Food,500,241,120500
20180346,4/19/2018,Australia,Mobile,Beverage,200,302,60400
20180347,4/19/2018,Australia,Mobile,Dried Food,450,376,169200
20180348,4/20/2018,Canada,Mobile,Canned Food,500,218,109000
20180349,4/20/2018,Australia,Mobile,Dried Food,450,314,141300
20180350,4/20/2018,Australia,Tablet,Beverage,200,219,43800
20180351,4/20/2018,Thailand,Tablet,Frozen Food,330,256,84480
20180352,4/21/2018,Canada,Desktop,Dried Food,450,318,143100
20180353,4/21/2018,USA,Mobile,Beverage,200,390,78000
20180354,4/21/2018,Canada,Mobile,Dried Food,450,348,156600
20180355,4/21/2018,Canada,Mobile,Beverage,200,246,49200
20180356,4/21/2018,Thailand,Mobile,Beverage,200,348,69600
20180357,4/21/2018,Thailand,Desktop,Canned Food,500,284,142000
20180358,4/21/2018,Canada,Desktop,Beverage,200,313,62600
20180359,4/21/2018,Canada,Desktop,Frozen Food,330,185,61050
20180360,4/22/2018,Australia,Desktop,Canned Food,500,274,137000
20180361,4/22/2018,Canada,Desktop,Beverage,200,237,47400
20180362,4/22/2018,USA,Mobile,Frozen Food,330,142,46860
20180363,4/22/2018,USA,Mobile,Canned Food,500,109,54500
20180364,4/22/2018,USA,Tablet,Dried Food,450,340,153000
20180365,4/23/2018,Canada,Mobile,Beverage,200,102,20400
20180366,4/23/2018,USA,Desktop,Frozen Food,330,211,69630
20180367,4/23/2018,Canada,Mobile,Beverage,200,347,69400
20180368,4/24/2018,Canada,Desktop,Frozen Food,330,108,35640
20180369,4/24/2018,Australia,Tablet,Frozen Food,330,279,92070
20180370,4/24/2018,Canada,Mobile,Canned Food,500,127,63500
20180371,4/25/2018,Canada,Desktop,Canned Food,500,117,58500
20180372,4/25/2018,Canada,Mobile,Frozen Food,330,335,110550
20180373,4/25/2018,Thailand,Mobile,Canned Food,500,351,175500
20180374,4/26/2018,Thailand,Mobile,Beverage,200,313,62600
20180375,4/26/2018,Thailand,Mobile,Dried Food,450,339,152550
20180376,4/26/2018,Canada,Mobile,Dried Food,450,217,97650
20180377,4/26/2018,USA,Mobile,Frozen Food,330,394,130020
20180378,4/26/2018,Thailand,Desktop,Beverage,200,147,29400
20180379,4/26/2018,USA,Mobile,Beverage,200,394,78800
20180380,4/26/2018,Canada,Mobile,Frozen Food,330,179,59070
20180381,4/27/2018,Thailand,Tablet,Beverage,200,339,67800
20180382,4/27/2018,Canada,Tablet,Dried Food,450,360,162000
20180383,4/27/2018,USA,Mobile,Dried Food,450,313,140850
20180384,4/27/2018,Canada,Tablet,Frozen Food,330,249,82170
20180385,4/27/2018,Australia,Tablet,Dried Food,450,315,141750
20180386,4/28/2018,Australia,Mobile,Canned Food,500,333,166500
20180387,4/28/2018,Canada,Mobile,Beverage,200,257,51400
20180388,4/28/2018,Thailand,Desktop,Beverage,200,365,73000
20180389,4/28/2018,Canada,Desktop,Canned Food,500,242,121000
20180390,4/28/2018,Canada,Mobile,Dried Food,450,386,173700
20180391,4/29/2018,USA,Tablet,Frozen Food,330,222,73260
20180392,4/29/2018,Canada,Tablet,Canned Food,500,213,106500
20180393,4/29/2018,Canada,Mobile,Frozen Food,330,212,69960
20180394,4/29/2018,USA,Mobile,Canned Food,500,160,80000
20180395,4/30/2018,Canada,Tablet,Frozen Food,330,120,39600
20180396,4/30/2018,USA,Mobile,Beverage,200,369,73800
20180397,4/30/2018,USA,Tablet,Dried Food,450,255,114750
20180398,5/1/2018,Thailand,Mobile,Beverage,200,493,98600
20180399,5/1/2018,Thailand,Desktop,Frozen Food,330,467,154110
20180400,5/1/2018,Canada,Mobile,Dried Food,450,316,142200
20180401,5/2/2018,Australia,Mobile,Frozen Food,330,431,142230
20180402,5/2/2018,Thailand,Mobile,Dried Food,450,200,90000
20180403,5/2/2018,Thailand,Tablet,Frozen Food,330,136,44880
20180404,5/2/2018,USA,Mobile,Dried Food,450,391,175950
20180405,5/2/2018,Australia,Mobile,Beverage,200,353,70600
20180406,5/2/2018,Thailand,Mobile,Frozen Food,330,196,64680
20180407,5/3/2018,USA,Desktop,Dried Food,450,234,105300
20180408,5/4/2018,USA,Tablet,Canned Food,500,409,204500
20180409,5/4/2018,Canada,Mobile,Canned Food,500,281,140500
20180410,5/5/2018,Canada,Desktop,Beverage,200,115,23000
20180411,5/5/2018,Canada,Tablet,Dried Food,450,479,215550
20180412,5/5/2018,Australia,Mobile,Beverage,200,340,68000
20180413,5/6/2018,USA,Mobile,Frozen Food,330,221,72930
20180414,5/6/2018,USA,Tablet,Canned Food,500,165,82500
20180415,5/6/2018,Canada,Tablet,Frozen Food,330,421,138930
20180416,5/6/2018,Australia,Mobile,Dried Food,450,349,157050
20180417,5/6/2018,Canada,Mobile,Dried Food,450,240,108000
20180418,5/7/2018,Australia,Mobile,Canned Food,500,193,96500
20180419,5/8/2018,USA,Tablet,Canned Food,500,145,72500
20180420,5/8/2018,USA,Tablet,Frozen Food,330,294,97020
20180421,5/8/2018,USA,Mobile,Beverage,200,480,96000
20180422,5/8/2018,Canada,Mobile,Dried Food,450,293,131850
